Referencia;ReferenciaLosa;ReferenciaLosaBloqueo;Uso;ModoDeInstalación;Fabricante;Modelo;Ancho;GROSOR;longitud;Rotación;Reserva;NCapa;HCapa;NombreDelLocal;Forma;CargaMáx;OrdenLosa;RadioCurvatura;Puntos;NombreDelLocalLosa
13782588;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;182.809 16.120 136.938|182.809 16.120 139.024;
12954970;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;176.141 2.490 140.678|176.062 2.416 140.678;
12260562;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;172.929 3.471 143.446|175.236 3.471 143.446;
12259854;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;169.854 3.297 144.592|170.404 2.748 144.592;
12259285;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;171.005 2.644 143.798|171.005 2.644 144.240;
12259223;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;171.357 2.644 143.446|172.227 2.644 143.446;
12250336;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;176.786 7.013 140.678|176.786 7.900 140.678;
12250209;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;175.501 6.397 140.678|175.759 6.139 140.678;
12249020;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;176.786 4.132 140.678|176.786 5.361 140.678;
12248998;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;176.609 3.706 140.678|176.317 3.413 140.678;
11437853;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;176.062 2.490 143.446|176.062 2.416 143.446;
10869230;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;173.399 4.941 131.030|173.399 6.158 131.030;
10109565;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;157.248 7.674 140.678|157.248 7.451 140.678;
10109552;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;156.916 6.963 140.678|157.137 7.184 140.678;
10109302;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;156.806 6.696 140.678|156.806 5.444 140.678;
10095037;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;164.954 7.712 153.960|168.478 7.712 153.960;
9807742;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;176.553 3.703 150.340|176.553 6.028 150.340;
9807728;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;176.450 3.453 150.340|176.165 3.168 150.340;
9774571;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;173.081 10.179 161.266|173.762 10.179 161.266;
9772359;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;169.279 6.632 158.061|169.279 4.082 158.061;
9772053;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;169.279 6.984 154.312|169.279 6.984 157.709;
9771118;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;170.652 8.308 153.960|170.167 7.822 153.960;
9161385;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;173.073 6.573 140.678|175.075 6.573 140.678;
9161371;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;172.472 7.174 140.678|172.472 7.367 140.678;
9161254;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;169.979 7.968 140.678|171.871 7.968 140.678;
9160947;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;173.723 7.747 150.340|173.723 6.730 150.340;
9160943;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;176.288 9.828 161.266|176.288 3.627 161.266;
8733993;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;176.062 2.416 140.678|176.062 2.416 143.788|176.062 2.416 137.291|176.062 2.416 143.446;
8294872;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;193.485 12.344 141.924|193.485 12.344 139.726;
8294865;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;193.836 12.344 142.275|196.194 12.344 142.275;
8294799;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;190.926 12.344 139.375|193.134 12.344 139.375;
8294791;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;190.175 13.095 139.375|190.175 15.369 139.375;
8293809;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;196.945 13.095 142.275|196.945 18.266 142.275;
8039798;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;206.012 55.346 144.199|206.012 55.346 126.952;
7838908;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;196.945 18.617 144.699|196.945 18.617 142.626;
7817760;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;189.424 16.120 139.375|183.160 16.120 139.375;
7421105;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;450;102;;;;;;;0;;;;176.067 2.480 161.266|176.062 2.416 161.266;
7420506;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;176.058 2.927 157.476|176.058 6.569 157.476;
7418176;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;175.682 8.418 153.960|170.919 8.418 153.960;
7418169;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;450;102;;;;;;;0;;;;176.058 2.474 153.960|176.062 2.416 153.960;
7417961;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;164.097 4.463 150.340|163.463 4.463 150.340;
7417954;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;164.448 4.814 150.340|164.448 7.747 150.340;
7417131;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;173.372 8.098 150.340|164.799 8.098 150.340;
7416915;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;176.202 6.379 150.340|174.074 6.379 150.340;
7415260;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;160.816 10.128 144.592|165.465 10.128 144.592;
7415178;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;160.465 3.752 144.592|160.465 9.777 144.592;
7415038;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;169.605 3.401 144.592|160.816 3.401 144.592;
7414509;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;172.227 3.471 143.446|170.573 3.471 143.446;
7413667;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;176.410 8.276 140.678|175.783 8.276 140.678;
7412393;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;168.777 5.068 140.678|157.632 5.068 140.678;
7412386;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;169.378 7.367 140.678|169.378 5.669 140.678;
7402663;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;450;102;;;;;;;0;;;;176.062 2.416 144.238|176.062 2.416 153.960|176.062 2.416 150.340|176.062 2.416 161.266;
7402437;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;176.062 2.768 136.939|176.062 3.345 136.939;
2969413;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;205.261 58.880 145.050|200.949 58.880 145.050;
2969330;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;206.012 55.697 145.050|206.012 58.129 145.050;
1111111;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;175.682 8.418 153.960| 173.485 12.154 156.634;
